simbolo,canal_pct,score_volumen,score_precio,p25,p75,v25,v75,close_ult,vol_ult,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,score_final,fecha_senal
ON,12.030941908084323,9,9,38.73,43.68,6680150,12609800,47.37,24121000,10349638.333333334,1.77,2.65,9.15,10.22,82.17,3.57,85.56,3.35,11.09,8,0.2315708906058892,0.8721338566411899,2.65,5.0,22.71527563785297,2025-06-04
DG,8.080389231907414,9,9,86.66,93.96,3143100,5187325,112.57,15311400,4687443.333333333,3.16,4.34,11.48,16.85,51.12,2.61,74.5,13.81,11.69,7,0.13978289834014523,0.7579012600702335,3.0,5.0,21.377467056750525,2025-06-04
MCHP,20.576252165215067,9,9,45.96,56.51,7324400,14189850,63.84,16320200,12067528.333333334,1.75,0.64,8.79,10.38,95.63,3.36,81.62,5.73,12.65,8,0.43011447072819,0.8314397851683538,0.64,5.0,21.081668726624734,2025-06-04
DLTR,20.661940237777692,9,9,69.73,85.8,3088425,6152400,96.72,9026100,5384835.0,2.02,1.05,7.04,9.55,58.97,2.39,57.85,7.03,35.13,7,0.4321053658728299,0.5859326585416237,1.05,5.0,20.98014339028728,2025-06-04
NRG,45.104109755357264,9,9,95.68,151.41,2215025,3812375,161.04,3913200,3366043.3333333335,1.72,0.3,2.63,7.97,76.34,2.64,9.86,31.01,59.13,6,0.9999999999999999,0.09027060524684982,0.3,2.63,19.985270605246853,2025-06-04
EBAY,6.732076581045822,9,9,65.74,70.32,4150875,6665975,75.95,6931100,5730671.666666667,2.42,0.53,4.85,6.07,29.16,1.76,87.57,5.95,6.49,7,0.10845591163385616,0.8928940301590581,0.53,4.85,19.644805853426774,2025-06-04
AVGO,22.594590554025938,8,9,178.0,223.34,18729000,31610425,256.85,30319700,28030083.333333332,2.22,0.17,9.0,12.06,62.19,2.68,79.83,12.15,8.02,9,0.47700897982789103,0.8129518694484611,0.17,5.0,19.216969829104247,2025-06-04
ANET,15.952860446035647,8,9,77.11,90.48,7973350,12278500,94.5,12107500,11084026.666666666,1.33,0.24,2.17,2.58,60.65,2.75,82.62,8.38,9.0,8,0.322693591133129,0.8417682297046066,0.24,2.17,18.482155411970865,2025-06-04
ALLY,9.146408334856531,9,8,32.63,35.76,3036400,5141950,35.67,5536300,4735950.0,0.78,0.25,2.56,2.23,46.9,2.4,39.81,11.11,49.07,7,0.1645510159168787,0.3996075191076225,0.25,2.56,18.478709550941378,2025-06-04
WMB,3.589852909827336,9,9,57.58,59.69,5435100,8205175,61.11,9977400,7607763.333333333,1.45,0.72,1.68,3.65,30.54,1.55,22.78,20.25,56.96,8,0.03544880967308621,0.22371410865523655,0.72,1.68,18.40461172800141,2025-06-04
